""	"X"	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"102"	"Denison University"	"Yes"	2762	2279	533	32	60	1835	14	16900	4720	500	600	88	97	11.6	45	12423	81	1849
"103"	"DePauw University"	"Yes"	1994	1656	495	50	80	1983	36	14300	5020	550	950	78	94	11.1	31	11525	82	2019
"104"	"Dickinson College"	"Yes"	3014	2539	487	31	68	1889	62	18700	5000	595	1250	87	94	11.2	39	13861	87	1951
"106"	"Dillard University"	"Yes"	1998	1376	651	41	88	1539	45	6700	3650	500	2307	52	52	14.1	12	7566	61	1584
"110"	"Drew University"	"Yes"	2153	1580	321	56	84	1192	87	18432	5616	520	660	93	97	10.2	28	14907	83	1279
"111"	"Drury College"	"Yes"	700	650	314	33	66	1065	48	8730	3523	500	750	82	92	13.2	35	9303	67	1113
"112"	"Earlham College"	"Yes"	1358	1006	274	35	63	1028	13	15036	4056	600	600	90	94	10.6	46	14634	78	1041
"117"	"Eckerd College"	"Yes"	1422	1109	366	33	65	1363	23	15360	4080	600	1000	82	89	12.8	26	15003	59	1386
"118"	"Elizabethtown College"	"Yes"	2417	1843	426	36	70	1476	299	14190	4400	500	750	65	68	12.8	25	9815	81	1775
"121"	"Emory & Henry College"	"Yes"	765	646	226	30	60	809	32	8578	4408	700	1600	79	88	13.9	51	8061	82	841
"122"	"Erskine College"	"Yes"	659	557	167	47	74	532	35	10485	3840	475	1246	76	80	13.5	47	7527	67	567
"123"	"Eureka College"	"Yes"	560	454	113	36	56	484	16	10955	3450	330	670	62	87	10.6	31	9552	53	500
"125"	"Flagler College"	"Yes"	1415	714	338	18	52	1345	44	5120	3200	500	2140	52	60	18.1	9	3930	69	1389
"126"	"Florida Institute of Technology"	"Yes"	1947	1580	523	39	74	1863	233	13900	4140	750	1500	90	90	10.6	7	8923	57	2096
"129"	"Franklin College"	"Yes"	804	632	281	29	72	840	68	10390	4040	525	1345	54	78	12.5	37	11751	60	908
"130"	"Freed-Hardeman University"	"Yes"	895	548	314	20	54	1174	50	5500	3340	600	1600	68	76	16.1	13	6078	62	1224
"131"	"Fresno Pacific College"	"Yes"	346	274	146	51	87	704	63	9900	3670	630	1818	59	59	10.5	14	8095	54	767
"134"	"George Fox College"	"Yes"	809	726	294	27	52	1271	43	12500	4130	400	1050	53	53	13.5	22	7136	52	1314
"135"	"Georgetown College"	"Yes"	727	693	286	30	55	1063	48	8100	3950	550	550	73	76	13.3	28	7508	55	1111
"136"	"Georgian Court College"	"Yes"	348	281	127	12	52	1095	785	9150	3950	500	800	56	59	12.2	27	7348	76	1880
"137"	"Gettysburg College"	"Yes"	3596	2466	575	42	78	1944	46	19964	4328	500	500	94	95	12.1	32	14720	83	1990
"139"	"Gordon College"	"Yes"	674	565	282	25	54	1151	39	12200	4070	400	1200	73	82	14.2	32	9226	66	1190
"141"	"Goucher College"	"Yes"	1151	813	248	40	64	850	80	15588	6174	500	1200	78	90	9.2	34	16623	77	930
"146"	"Grinnell College"	"Yes"	2039	1389	432	56	91	1333	30	15688	4618	400	400	88	92	9.5	54	18979	83	1363
"148"	"Gwynedd Mercy College"	"Yes"	380	237	104	30	56	716	1108	11000	5550	500	500	36	41	7.8	22	7483	96	1824
"149"	"Hamilton College"	"Yes"	3140	1783	454	40	82	1646	24	19700	5050	300	800	91	96	9.6	60	17761	91	1670
"150"	"Hamline University"	"Yes"	1006	825	328	34	73	1362	102	13252	4194	450	550	89	93	13	33	10296	65	1464
"152"	"Hanover College"	"Yes"	1006	837	317	33	65	1024	15	8200	3485	500	1200	84	84	10.6	26	9248	64	1039
"155"	"Harvey Mudd College"	"Yes"	1377	572	178	95	100	654	5	17230	6690	700	900	100	100	8.2	46	21569	100	659
"156"	"Hastings College"	"Yes"	817	708	262	22	52	935	37	9376	3272	500	1902	57	63	13	17	7335	52	972
"157"	"Hendrix College"	"Yes"	823	721	274	52	87	954	6	8800	3195	500	1200	82	99	13.1	26	8588	63	960
"158"	"Hillsdale College"	"Yes"	920	745	347	35	66	1133	42	11090	4700	400	750	80	80	12	31	12639	79	1175
"159"	"Hiram College"	"Yes"	922	729	244	37	66	1000	275	14067	4560	400	1000	75	95	10.6	34	12165	79	1275
"160"	"Hobart and William Smith Colleges"	"Yes"	2688	2081	500	25	53	1792	5	19029	5841	600	600	99	99	12.1	37	13040	79	1797
"161"	"Hollins College"	"Yes"	602	498	215	26	58	795	74	13470	5515	500	850	78	91	11.1	48	13957	72	869
"162"	"Hood College"	"Yes"	699	565	176	36	64	710	399	13960	6040	450	690	82	88	14.4	34	12434	72	1109
"163"	"Houghton College"	"Yes"	949	786	302	30	70	1210	26	9990	3550	500	1500	85	90	15	24	8187	67	1236
"169"	"Illinois College"	"Yes"	894	787	262	28	63	909	28	8050	3850	600	1000	75	75	15.6	30	7348	52	937
"170"	"Illinois Wesleyan University"	"Yes"	3050	1342	471	55	86	1818	23	14360	4090	400	650	77	92	12.9	34	9605	83	1841
"172"	"John Brown University"	"Yes"	605	405	284	24	53	961	99	6398	3672	400	1350	68	68	13.3	19	8118	75	1060
"175"	"Juniata College"	"Yes"	1005	859	298	36	55	1075	43	14850	4460	450	420	97	97	12.7	37	12067	80	1118
"178"	"Kenyon College"	"Yes"	2212	1538	408	44	75	1445	1	19240	3690	750	480	95	95	11.1	46	14067	88	1446
"181"	"King College"	"Yes"	355	300	142	34	65	509	44	8664	3350	600	3000	65	68	10.7	25	8954	65	553
"182"	"Knox College"	"Yes"	1040	845	286	48	77	967	24	15747	4062	400	800	88	95	12.7	33	13224	79	991
"185"	"Lake Forest College"	"Yes"	979	638	271	31	70	968	20	16880	3970	920	1320	91	94	10.7	19	15687	77	988
"187"	"Lawrence University"	"Yes"	1243	947	324	50	77	1129	74	17163	3891	525	975	76	92	10.1	57	13965	77	1203
"188"	"Lebanon Valley College"	"Yes"	1386	1060	320	28	56	965	502	13850	4755	400	1125	84	84	12.3	30	8196	85	1467
"191"	"LeTourneau University"	"Yes"	477	417	204	29	54	1532	77	8840	4240	600	1400	58	70	20.8	23	6863	56	1609
"192"	"Lewis and Clark College"	"Yes"	2774	2092	482	35	64	1763	59	15800	4790	450	950	97	98	12.3	21	12999	69	1822
"193"	"Lincoln Memorial University"	"Yes"	787	562	363	21	55	925	605	5950	2890	600	1300	67	72	14.6	35	5177	53	1530
"197"	"Louisiana College"	"Yes"	2013	1053	212	33	61	912	158	5150	3036	500	1655	64	74	10.5	11	7547	59	1070
"201"	"Macalester College"	"Yes"	2939	1496	452	56	86	1723	113	15909	4772	500	700	85	91	11.9	37	14213	77	1836
"204"	"Manchester College"	"Yes"	1004	802	239	23	63	909	51	10440	3850	525	1450	63	72	11.8	20	7940	64	960
"205"	"Manhattanville College"	"Yes"	962	750	212	21	54	830	150	14700	6550	450	400	97	97	11.3	24	11291	70	980
"207"	"Marietta College"	"Yes"	1611	960	342	27	60	1089	210	13850	3920	470	810	80	97	13.2	30	10223	96	1299
"208"	"Mary Baldwin College"	"Yes"	499	441	199	26	52	846	377	11200	7400	600	1300	66	79	6.8	50	10819	90	1223
"212"	"Maryville College"	"Yes"	1464	888	176	26	52	624	128	11200	4208	500	1642	80	90	11.1	43	8317	51	752
"219"	"Milligan College"	"Yes"	610	461	189	26	52	685	49	8200	3300	550	1000	63	69	12	16	8128	64	734
"220"	"Millikin University"	"Yes"	1444	1261	456	29	62	1788	95	11910	4378	450	965	60	77	11.4	25	8149	75	1883
"221"	"Millsaps College"	"Yes"	905	834	319	32	61	1073	179	11320	4402	550	1350	82	89	12.7	38	11218	58	1252
"223"	"Monmouth College IL"	"Yes"	601	503	204	28	57	671	11	13000	4100	400	460	91	91	11.6	43	11087	56	682
"224"	"Montana College of Mineral Sci. & Tech."	"No"	572	544	320	45	72	1470	416	6073	3400	550	1400	71	71	16.4	31	6112	74	1886
"226"	"Moravian College"	"Yes"	1232	955	303	23	58	1241	485	14990	4730	550	1250	86	92	15.2	28	9566	74	1726
"229"	"Mount Holyoke College"	"Yes"	1800	1314	526	47	79	1891	40	19300	5700	750	750	79	91	9	51	18359	84	1931
"236"	"Mount St. Mary's College"	"Yes"	657	537	113	37	90	1039	466	12474	5678	630	1278	53	71	11.9	19	10613	72	1505
"237"	"Mount Union College"	"Yes"	1310	1086	458	26	61	1365	144	12250	3530	400	1150	85	87	16.7	35	7215	81	1509
"239"	"Muhlenberg College"	"Yes"	2519	1836	462	30	61	1656	352	16975	4565	600	850	76	86	12.8	39	10888	83	2008
"241"	"Nazareth College of Rochester"	"Yes"	947	798	266	36	68	1274	471	10850	5150	550	800	77	93	13.6	24	8797	61	1745
"242"	"New Mexico Institute of Mining and Tech."	"No"	787	601	233	40	73	1017	411	5376	3214	600	1100	99	100	13.7	11	9241	34	1428
"246"	"North Central College"	"Yes"	1127	884	308	30	64	1310	766	11718	7398	450	1800	73	87	16.4	33	8871	76	2076
"248"	"Northwest Nazarene College"	"Yes"	616	514	385	29	52	1115	60	9840	2820	450	822	59	59	14.8	20	6261	58	1175
"249"	"Northwestern College"	"Yes"	860	811	366	22	56	1040	52	9900	3075	300	1800	68	68	14.9	34	6357	68	1092
"251"	"Occidental College"	"Yes"	2324	1319	370	52	81	1686	35	16560	5140	558	1152	91	93	10.5	30	16196	79	1721
"252"	"Oglethorpe University"	"Yes"	792	649	186	56	87	769	377	12900	4340	600	4110	91	95	13.1	27	8568	67	1146
"253"	"Ohio Wesleyan University"	"Yes"	2190	1700	458	36	65	1780	48	16732	5650	550	550	93	93	12.1	32	12011	75	1828
"255"	"Ouachita Baptist University"	"Yes"	910	773	450	31	73	1310	61	6530	2800	500	1500	63	67	13.3	10	6413	65	1371
"257"	"Pacific University"	"Yes"	943	849	288	41	71	1041	35	14210	3994	450	1100	76	76	10.9	22	11216	42	1076
"263"	"Pitzer College"	"Yes"	1133	630	220	37	73	750	30	17688	5900	650	850	100	100	10.4	11	14820	73	780
"264"	"Polytechnic University"	"Yes"	1132	847	302	58	89	1379	214	16200	4200	436	2486	90	90	10.4	14	14329	62	1593
"265"	"Presbyterian College"	"Yes"	1082	832	302	34	63	1133	30	11859	3635	554	1429	80	85	13.4	42	8354	85	1163
"266"	"Queens College"	"Yes"	516	392	154	32	62	630	549	11020	4970	610	1900	73	75	14	36	9315	58	1179
"267"	"Quincy University"	"Yes"	1025	707	297	22	66	1070	72	10100	4140	450	1080	69	71	16.3	32	6880	80	1142
"269"	"Randolph-Macon Woman's College"	"Yes"	696	616	169	35	66	653	56	13970	6110	370	920	88	97	9.2	24	16358	68	709
"270"	"Reed College"	"Yes"	1966	1436	327	47	80	1199	61	19960	5490	500	450	90	90	11.8	37	15886	68	1260
"272"	"Rhodes College"	"Yes"	2302	1831	391	58	82	1345	59	15200	4768	550	1500	90	96	10.8	47	13388	77	1404
"273"	"Ripon College"	"Yes"	587	501	211	28	52	735	28	15200	4100	350	650	87	90	9.4	49	12472	64	763
"275"	"Roanoke College"	"Yes"	2227	1790	437	27	54	1460	239	13425	4425	450	1200	85	89	13	26	9405	72	1699
"278"	"Rosary College"	"Yes"	434	321	141	28	53	624	269	10950	4600	550	950	79	82	12.9	30	9264	81	893
"285"	"Saint Joseph College"	"Yes"	292	241	96	20	52	543	712	12200	4600	650	950	87	90	11.2	32	8680	76	1255
"286"	"Saint Mary's College"	"Yes"	888	734	393	26	60	1433	27	12730	4514	500	1525	74	95	9.9	31	11165	98	1460
"289"	"Saint Michael's College"	"Yes"	1910	1380	463	16	64	1715	106	13030	5860	500	750	79	88	14.5	34	10190	84	1821
"291"	"Salem-Teikyo University"	"Yes"	489	384	120	23	52	700	45	10575	3952	400	620	46	24	13	9	8946	98	745
"292"	"Salem College"	"Yes"	335	284	132	28	69	534	216	10475	6300	500	2000	68	68	11.2	46	9599	60	750
"293"	"Sarah Lawrence College"	"Yes"	1380	768	263	57	82	1000	105	19300	6694	600	700	89	93	6.1	18	14779	83	1105
"295"	"Scripps College"	"Yes"	855	632	139	60	83	569	7	17238	7350	600	800	95	100	8.2	41	18372	73	576
"296"	"Seton Hill College"	"Yes"	936	794	197	24	56	752	210	11240	4180	350	2000	71	71	11.2	37	10065	71	962
"297"	"Shorter College"	"Yes"	540	445	165	23	70	1115	111	7210	3600	500	2000	62	65	13.2	18	7356	58	1226
"299"	"Simmons College"	"Yes"	1003	782	295	23	53	1144	160	16160	6950	500	1200	74	81	8.9	33	14086	79	1304
"300"	"Simpson College"	"Yes"	1016	872	300	27	57	1116	602	11250	4980	550	1400	66	73	15.8	36	7411	70	1718
"304"	"Southwestern College"	"Yes"	213	155	75	28	66	504	147	7200	3532	550	1500	56	56	11.8	12	7818	52	651
"305"	"Southwestern University"	"Yes"	1244	912	352	44	77	1177	43	11850	4675	600	1050	83	89	11.3	35	12995	67	1220
"307"	"Spelman College"	"Yes"	3713	1237	443	47	83	1971	107	7000	5565	660	2400	73	80	12.5	18	9988	65	2078
"311"	"St. Lawrence University"	"Yes"	2753	1820	505	31	56	1801	45	18720	5730	650	825	90	94	11.5	38	14980	85	1846
"313"	"St. Mary's College of Maryland"	"No"	1340	695	285	42	73	1315	209	6800	4730	675	1250	84	89	11.6	23	10357	63	1524
"314"	"St. Norbert College"	"Yes"	1334	1243	568	30	56	1946	95	12140	4450	425	1100	74	78	15.1	36	8595	88	2041
"318"	"Stetson University"	"Yes"	1557	1227	489	37	69	1964	81	12315	4565	600	1365	85	90	12.5	24	10307	73	2045
"319"	"Stevens Institute of Technology"	"Yes"	1768	1249	380	51	93	1263	11	16900	5680	450	750	89	89	19	33	12837	79	1274
"320"	"Susquehanna University"	"Yes"	2096	1512	465	27	59	1442	166	16130	4710	400	800	83	86	13.9	37	10554	90	1608
"321"	"Sweet Briar College"	"Yes"	462	402	146	36	68	527	41	14500	6000	500	600	91	99	6.5	48	18953	61	568
"323"	"Talladega College"	"Yes"	4414	1500	335	30	60	908	119	5666	2964	1000	1400	56	58	15.5	7	5970	46	1027
"324"	"Taylor University"	"Yes"	1769	1092	437	41	80	1757	81	10965	4000	450	1250	60	61	14.2	32	8294	98	1838
"327"	"Texas Lutheran College"	"Yes"	497	423	215	27	57	895	429	7850	3410	490	1700	54	58	13.8	24	7002	50	1324
"331"	"Transylvania University"	"Yes"	759	729	244	57	81	867	51	10900	4450	500	1000	81	91	12.1	41	10219	70	918
"333"	"Trinity College CT"	"Yes"	3058	1798	478	46	84	1737	244	18810	5690	500	680	91	96	10.4	48	18034	91	1981
"338"	"Union College NY"	"Yes"	3495	1712	528	49	84	1915	123	18732	6204	450	1024	94	96	11.5	49	15411	88	2038
"340"	"University of Dallas"	"Yes"	681	588	246	44	74	1058	73	10760	6230	500	1200	85	93	13.4	26	8731	63	1131
"344"	"University of Minnesota at Morris"	"No"	1458	874	588	56	86	1846	154	9843	3180	600	1500	74	78	14.6	16	6716	51	2000
"345"	"University of Mobile"	"Yes"	452	331	269	17	54	1417	301	6150	3680	550	1200	59	63	16.6	4	5412	52	1718
"346"	"University of New England"	"Yes"	1209	750	265	19	54	820	159	11450	5045	900	2500	72	75	11.4	13	9718	64	979
"348"	"University of St. Thomas TX"	"Yes"	374	280	185	45	77	995	408	8550	4050	500	1344	75	75	12.6	17	7237	62	1403
"350"	"University of the South"	"Yes"	1445	966	326	46	83	1129	24	15350	4080	450	810	89	93	10.3	52	18784	82	1153
"351"	"University of Wisconsin-Superior"	"No"	910	910	342	14	53	1434	417	7032	2780	550	1960	75	81	15.2	15	6490	36	1851
"352"	"Ursinus College"	"Yes"	1399	1026	308	44	77	1131	17	14900	5160	500	800	82	85	11.6	40	12082	79	1148
"355"	"Virginia Union University"	"Yes"	1847	1610	453	19	59	1298	67	7384	3494	500	1763	51	67	13.7	8	6757	30	1365
"359"	"Wabash College"	"Yes"	800	623	256	41	76	801	5	12925	4195	500	635	78	85	9.9	55	14904	72	806
"361"	"Walsh University"	"Yes"	1092	890	477	27	92	847	497	8670	4180	500	1450	42	58	11.3	33	5738	68	1344
"363"	"Wartburg College"	"Yes"	1231	1074	345	34	66	1295	105	11600	3610	400	850	66	91	12.4	37	7735	67	1400
"364"	"Washington and Jefferson College"	"Yes"	1305	1100	334	42	64	1098	151	16260	4005	300	500	91	91	12.1	40	10162	86	1249
"365"	"Washington and Lee University"	"Yes"	3315	1096	425	68	93	1584	3	13750	4619	680	1115	81	96	9.6	45	15736	90	1587
"366"	"Washington College"	"Yes"	1209	942	214	31	60	822	46	15276	5318	500	300	79	86	11.2	37	10830	65	868
"369"	"Wells College"	"Yes"	318	240	130	40	85	416	19	14900	5550	600	500	93	98	8.3	42	13935	69	435
"371"	"West Virginia Wesleyan College"	"Yes"	1566	1400	483	28	55	1509	170	14200	3775	450	1100	58	81	16.4	42	8080	67	1679
"373"	"Westminster College"	"Yes"	996	866	377	29	58	1411	72	12065	3615	430	685	62	78	12.5	41	8596	80	1483
"375"	"Westminster College of Salt Lake City"	"Yes"	917	720	213	21	60	979	743	8820	4050	600	2025	68	83	10.5	34	7170	50	1722
"376"	"Westminster College PA"	"Yes"	1738	1373	417	21	55	1335	30	18460	5970	700	850	92	96	13.2	41	22704	71	1365
"377"	"Westmont College"	"No"	950	713	351	42	72	1276	9	14320	5304	490	1410	77	77	14.9	17	8837	87	1285
"379"	"Whitman College"	"Yes"	1861	998	359	45	77	1220	46	16670	4900	750	800	80	83	10.5	51	13198	72	1266
"380"	"Whittier College"	"Yes"	1681	1069	344	35	63	1235	30	16249	5699	500	1998	84	92	13.6	29	11778	52	1265
"381"	"Whitworth College"	"Yes"	1121	926	372	43	70	1270	160	12660	4500	678	2424	80	80	16.9	20	8328	80	1430
"382"	"Willamette University"	"Yes"	1658	1327	395	49	80	1595	159	14800	4620	400	790	91	94	13.3	37	10779	68	1754
"383"	"William Jewell College"	"Yes"	663	547	315	32	67	1279	75	10060	2970	500	2600	74	80	11.2	19	7885	59	1354
"385"	"Williams College"	"Yes"	4186	1245	526	81	96	1988	29	19629	5790	500	1200	94	99	9	64	22014	99	2017
"389"	"Wofford College"	"Yes"	1501	935	273	51	83	1059	34	12680	4150	605	1440	91	92	15.3	42	7875	75	1093
