""	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"Claremont McKenna College"	"Yes"	1860	767	227	71	93	887	1	17000	6010	500	850	99	99	9.6	52	18443	87	888
"Clarke College"	"Yes"	460	340	167	14	45	604	350	10740	3676	350	900	67	71	11	27	7963	74	954
"Clinch Valley Coll. of  the Univ. of Virginia"	"No"	689	561	250	15	30	1125	422	7168	3689	600	1900	67	67	18.1	9	4417	46	1547
"Coe College"	"Yes"	1006	742	275	29	60	1127	205	13925	4390	500	2200	73	86	12.7	32	10141	67	1332
"Coker College"	"Yes"	604	452	295	15	47	690	222	9888	4502	400	1000	64	77	12.1	39	8741	75	912
"Colby College"	"Yes"	2848	1319	456	58	84	1720	35	18930	5590	500	1000	83	94	10.2	41	15954	91	1755
"College Misericordia"	"Yes"	1432	888	317	29	58	1121	493	10860	5760	550	900	56	62	12.9	23	8604	96	1614
"College of Mount St. Vincent"	"Yes"	946	648	177	23	46	707	432	11790	5770	500	1000	75	77	11.9	35	10015	83	1139
"College of Notre Dame"	"Yes"	344	264	97	11	42	500	331	12600	5520	630	2250	77	80	10.4	7	9773	43	831
"College of Saint Benedict"	"Yes"	938	864	511	29	62	1715	103	12247	4221	500	600	70	88	13.1	26	8847	72	1818
"College of Saint Elizabeth"	"Yes"	444	359	122	34	53	493	968	10900	5250	380	1000	68	70	11.4	23	9447	78	1461
"College of Santa Fe"	"Yes"	546	447	189	16	42	873	683	11138	4138	600	1200	40	74	14	7	8820	80	1556
"College of St. Joseph"	"Yes"	141	118	55	12	21	201	173	8300	4850	450	1300	53	53	9.5	19	6936	76	374
"College of St. Scholastica"	"Yes"	672	596	278	29	60	1350	275	11844	3696	450	1146	54	76	11.6	33	8996	72	1625
"College of Wooster"	"Yes"	2100	1883	553	29	65	1704	1	16240	4690	500	500	84	96	11.1	43	14140	69	1705
"Colorado College"	"Yes"	3207	1577	490	56	87	1892	7	17142	4190	450	1200	85	97	11.3	51	14664	84	1899
"Columbia College"	"Yes"	737	614	242	21	67	968	237	10425	3975	500	1500	61	77	14.7	34	8693	76	1205
"Concordia College at St. Paul"	"Yes"	281	266	139	13	29	1049	181	10500	3750	450	950	69	75	12.8	18	6955	45	1230
"Concordia Lutheran College"	"Yes"	232	216	106	16	34	534	172	6900	3800	450	1825	67	76	12.1	9	6875	42	706
"Concordia University"	"Yes"	528	403	186	22	56	1168	145	9216	4191	400	1000	56	64	12.1	13	7309	75	1313
"Concordia University CA"	"Yes"	688	497	144	30	75	641	101	10800	4440	570	1515	55	60	13.1	13	8415	55	742
"Connecticut College"	"Yes"	3035	1546	438	42	93	1630	232	18740	6300	600	500	86	95	10.7	40	14773	91	1862
"Converse College"	"Yes"	440	407	149	35	70	643	80	12050	3700	500	900	63	76	10.2	31	10965	75	723
"Cornell College"	"Yes"	1538	1329	383	33	68	1140	10	15248	4323	550	800	71	76	12.2	31	10340	64	1150
"Culver-Stockton College"	"Yes"	1576	1110	274	24	55	992	112	8000	3700	400	500	51	52	14.1	28	5807	51	1104
"Cumberland College"	"Yes"	995	789	398	26	47	1306	122	6230	3526	400	600	42	44	13	4	8189	63	1428
"D'Youville College"	"Yes"	866	619	157	18	47	1074	336	8920	4310	680	1320	68	68	14.6	42	6898	46	1410
"Dana College"	"Yes"	504	482	185	10	36	550	84	9130	3322	450	1450	46	51	12.6	25	8686	54	634
"Daniel Webster College"	"Yes"	585	508	153	12	30	460	536	12292	4934	500	500	61	61	22.2	10	8643	72	996
"Davidson College"	"Yes"	2373	956	452	77	96	1601	6	17295	5070	600	1011	95	97	12	46	17581	94	1607
"Defiance College"	"Yes"	571	461	174	10	26	645	283	10850	3670	400	1159	58	60	12.8	19	7505	56	928
"Denison University"	"Yes"	2762	2279	533	32	60	1835	14	16900	4720	500	600	88	97	11.6	45	12423	81	1849
"DePauw University"	"Yes"	1994	1656	495	50	80	1983	36	14300	5020	550	950	78	94	11.1	31	11525	82	2019
"Dickinson College"	"Yes"	3014	2539	487	31	68	1889	62	18700	5000	595	1250	87	94	11.2	39	13861	87	1951
"Dickinson State University"	"No"	434	412	319	10	30	1376	237	4486	2146	600	2000	50	64	16.5	28	4525	46	1613
"Dillard University"	"Yes"	1998	1376	651	41	88	1539	45	6700	3650	500	2307	52	52	14.1	12	7566	61	1584
"Doane College"	"Yes"	793	709	244	20	47	1022	411	9570	3000	400	1000	67	72	15.1	42	6852	60	1433
"Dominican College of Blauvelt"	"Yes"	360	329	108	4	19	756	863	8310	5500	600	1800	43	43	12.7	5	5480	54	1619
"Dordt College"	"Yes"	604	562	328	25	50	1048	56	9800	2650	450	2800	61	60	12.5	17	7325	87	1104
"Drew University"	"Yes"	2153	1580	321	56	84	1192	87	18432	5616	520	660	93	97	10.2	28	14907	83	1279
"Drury College"	"Yes"	700	650	314	33	66	1065	48	8730	3523	500	750	82	92	13.2	35	9303	67	1113
"Earlham College"	"Yes"	1358	1006	274	35	63	1028	13	15036	4056	600	600	90	94	10.6	46	14634	78	1041
"East Texas Baptist University"	"Yes"	379	341	265	10	36	1050	151	4950	2780	530	1500	62	62	15.7	7	5619	38	1201
"Eastern College"	"Yes"	458	369	165	16	42	1057	355	11190	4800	450	1230	60	60	13.6	22	8135	54	1412
"Eastern Mennonite College"	"Yes"	486	440	227	19	48	903	59	9650	3800	600	1300	46	65	11.4	29	10188	82	962
"Eastern Nazarene College"	"Yes"	516	409	200	17	40	1238	30	8770	3500	450	700	58	58	17.3	17	6430	70	1268
"Eckerd College"	"Yes"	1422	1109	366	33	65	1363	23	15360	4080	600	1000	82	89	12.8	26	15003	59	1386
"Elizabethtown College"	"Yes"	2417	1843	426	36	70	1476	299	14190	4400	500	750	65	68	12.8	25	9815	81	1775
"Elmira College"	"Yes"	1457	1045	345	27	50	1109	502	14990	4980	450	550	77	98	21.5	21	7502	64	1611
"Elms College"	"Yes"	245	208	125	23	46	544	436	11800	4765	450	1700	71	71	11.3	21	8952	86	980
"Emory & Henry College"	"Yes"	765	646	226	30	60	809	32	8578	4408	700	1600	79	88	13.9	51	8061	82	841
"Erskine College"	"Yes"	659	557	167	47	74	532	35	10485	3840	475	1246	76	80	13.5	47	7527	67	567
"Eureka College"	"Yes"	560	454	113	36	56	484	16	10955	3450	330	670	62	87	10.6	31	9552	53	500
"Ferrum College"	"Yes"	1339	1107	336	12	36	1051	82	9400	4200	500	1600	53	58	12.5	9	7967	22	1133
"Flagler College"	"Yes"	1415	714	338	18	52	1345	44	5120	3200	500	2140	52	60	18.1	9	3930	69	1389
"Florida Institute of Technology"	"Yes"	1947	1580	523	39	74	1863	233	13900	4140	750	1500	90	90	10.6	7	8923	57	2096
"Fontbonne College"	"Yes"	291	245	126	16	49	981	337	8390	4100	350	1500	45	55	21.5	24	4607	62	1318
"Franciscan University of Steubenville"	"Yes"	553	452	228	22	49	1301	242	9650	4400	600	1000	57	69	14.9	8	6336	83	1543
"Franklin College"	"Yes"	804	632	281	29	72	840	68	10390	4040	525	1345	54	78	12.5	37	11751	60	908
"Freed-Hardeman University"	"Yes"	895	548	314	20	54	1174	50	5500	3340	600	1600	68	76	16.1	13	6078	62	1224
"Fresno Pacific College"	"Yes"	346	274	146	51	87	704	63	9900	3670	630	1818	59	59	10.5	14	8095	54	767
"Gardner Webb University"	"Yes"	1110	930	332	18	36	1603	374	8180	4270	500	500	65	58	15.2	12	5664	29	1977
"Geneva College"	"Yes"	668	534	237	19	39	1306	258	9476	4820	500	1100	67	67	20.1	26	6786	74	1564
"George Fox College"	"Yes"	809	726	294	27	52	1271	43	12500	4130	400	1050	53	53	13.5	22	7136	52	1314
"Georgetown College"	"Yes"	727	693	286	30	55	1063	48	8100	3950	550	550	73	76	13.3	28	7508	55	1111
"Georgian Court College"	"Yes"	348	281	127	12	52	1095	785	9150	3950	500	800	56	59	12.2	27	7348	76	1880
"Gettysburg College"	"Yes"	3596	2466	575	42	78	1944	46	19964	4328	500	500	94	95	12.1	32	14720	83	1990
"Goldey Beacom College"	"Yes"	633	468	284	10	27	823	963	6120	2985	531	1830	25	25	27.6	4	6081	36	1786
"Gordon College"	"Yes"	674	565	282	25	54	1151	39	12200	4070	400	1200	73	82	14.2	32	9226	66	1190
"Goshen College"	"Yes"	440	396	221	26	51	910	166	9420	3730	600	1230	51	56	9.9	46	10270	72	1076
"Goucher College"	"Yes"	1151	813	248	40	64	850	80	15588	6174	500	1200	78	90	9.2	34	16623	77	930
"Grace College and Seminary"	"Yes"	548	428	167	18	46	618	113	8958	3670	300	1000	53	59	15.3	26	9798	64	731
"Green Mountain College"	"Yes"	780	628	198	7	20	545	42	11750	2700	400	850	77	83	14	24	6475	76	587
"Greensboro College"	"Yes"	608	494	176	10	31	649	314	8330	3770	550	1300	64	80	13	31	7949	39	963
"Greenville College"	"Yes"	510	387	194	20	46	771	53	10310	4530	400	800	57	61	14.3	16	8222	60	824
"Grinnell College"	"Yes"	2039	1389	432	56	91	1333	30	15688	4618	400	400	88	92	9.5	54	18979	83	1363
"Guilford College"	"Yes"	1202	1054	326	18	44	1410	299	13404	5160	450	1050	78	86	15.6	30	9114	65	1709
"Gwynedd Mercy College"	"Yes"	380	237	104	30	56	716	1108	11000	5550	500	500	36	41	7.8	22	7483	96	1824
"Hamilton College"	"Yes"	3140	1783	454	40	82	1646	24	19700	5050	300	800	91	96	9.6	60	17761	91	1670
"Hamline University"	"Yes"	1006	825	328	34	73	1362	102	13252	4194	450	550	89	93	13	33	10296	65	1464
"Hampden - Sydney College"	"Yes"	817	644	307	20	40	945	1	13218	4773	660	600	95	97	13.3	53	12263	69	946
"Hanover College"	"Yes"	1006	837	317	33	65	1024	15	8200	3485	500	1200	84	84	10.6	26	9248	64	1039
"Hardin-Simmons University"	"Yes"	467	424	350	16	40	1365	334	6300	2980	700	2140	75	79	13.7	10	7054	38	1699
"Hartwick College"	"Yes"	2083	1725	430	22	49	1464	67	17480	4780	500	700	75	87	12.3	32	11625	73	1531
"Harvey Mudd College"	"Yes"	1377	572	178	95	100	654	5	17230	6690	700	900	100	100	8.2	46	21569	100	659
"Hastings College"	"Yes"	817	708	262	22	52	935	37	9376	3272	500	1902	57	63	13	17	7335	52	972
"Hendrix College"	"Yes"	823	721	274	52	87	954	6	8800	3195	500	1200	82	99	13.1	26	8588	63	960
"Hillsdale College"	"Yes"	920	745	347	35	66	1133	42	11090	4700	400	750	80	80	12	31	12639	79	1175
"Hiram College"	"Yes"	922	729	244	37	66	1000	275	14067	4560	400	1000	75	95	10.6	34	12165	79	1275
"Hobart and William Smith Colleges"	"Yes"	2688	2081	500	25	53	1792	5	19029	5841	600	600	99	99	12.1	37	13040	79	1797
"Hollins College"	"Yes"	602	498	215	26	58	795	74	13470	5515	500	850	78	91	11.1	48	13957	72	869
"Hood College"	"Yes"	699	565	176	36	64	710	399	13960	6040	450	690	82	88	14.4	34	12434	72	1109
"Houghton College"	"Yes"	949	786	302	30	70	1210	26	9990	3550	500	1500	85	90	15	24	8187	67	1236
"Huntingdon College"	"Yes"	608	520	127	26	47	538	126	8080	3920	500	1100	63	72	11.4	9	7703	44	664
"Huntington College"	"Yes"	450	430	125	20	46	488	43	9950	3920	300	1300	76	76	11.8	25	9466	47	531
"Huron University"	"Yes"	600	197	124	3	9	392	69	7260	3090	600	1840	31	35	12.9	4	9249	21	461
"Husson College"	"Yes"	723	652	361	10	30	951	706	7800	4000	350	1500	36	44	22	4	4923	84	1657
"Illinois Benedictine College"	"Yes"	607	558	269	22	47	1222	519	10500	4348	650	1500	81	91	11.6	29	8324	75	1741
"Illinois College"	"Yes"	894	787	262	28	63	909	28	8050	3850	600	1000	75	75	15.6	30	7348	52	937
"Illinois Wesleyan University"	"Yes"	3050	1342	471	55	86	1818	23	14360	4090	400	650	77	92	12.9	34	9605	83	1841
"Immaculata College"	"Yes"	268	253	103	16	44	494	1305	10000	5364	500	1000	56	64	11.2	33	7305	69	1799
"John Brown University"	"Yes"	605	405	284	24	53	961	99	6398	3672	400	1350	68	68	13.3	19	8118	75	1060
"Johnson State College"	"No"	833	669	279	3	13	1224	345	7656	4690	500	624	80	91	14.4	15	6564	36	1569
"Judson College"	"Yes"	313	228	137	10	30	552	67	9414	4554	500	1700	34	55	10.6	30	7840	56	619
"Juniata College"	"Yes"	1005	859	298	36	55	1075	43	14850	4460	450	420	97	97	12.7	37	12067	80	1118
"Kansas Wesleyan University"	"Yes"	589	575	148	16	40	474	258	8400	3250	500	1400	63	55	12.4	14	6535	68	732
"Kentucky Wesleyan College"	"Yes"	584	497	175	20	49	662	121	8000	4150	500	1300	57	65	11.3	32	7058	62	783
"Kenyon College"	"Yes"	2212	1538	408	44	75	1445	1	19240	3690	750	480	95	95	11.1	46	14067	88	1446
"Keuka College"	"Yes"	461	381	174	10	43	738	55	9600	4550	600	750	55	94	13.3	43	7863	51	793
"King's College"	"Yes"	1456	1053	381	20	45	500	541	10910	5160	400	1795	66	72	15.6	37	7649	87	1041
"King College"	"Yes"	355	300	142	34	65	509	44	8664	3350	600	3000	65	68	10.7	25	8954	65	553
"Knox College"	"Yes"	1040	845	286	48	77	967	24	15747	4062	400	800	88	95	12.7	33	13224	79	991
"La Roche College"	"Yes"	361	321	185	10	41	650	819	8842	4782	600	1100	57	73	14.2	14	7022	52	1469
"LaGrange College"	"Yes"	544	399	177	15	35	600	363	6987	3585	750	1500	77	83	12.5	12	9067	75	963
"Lake Forest College"	"Yes"	979	638	271	31	70	968	20	16880	3970	920	1320	91	94	10.7	19	15687	77	988
"Lambuth University"	"Yes"	831	538	224	15	35	840	325	5170	3430	600	1590	61	61	16.1	10	5531	60	1165
"Lawrence University"	"Yes"	1243	947	324	50	77	1129	74	17163	3891	525	975	76	92	10.1	57	13965	77	1203
"Lebanon Valley College"	"Yes"	1386	1060	320	28	56	965	502	13850	4755	400	1125	84	84	12.3	30	8196	85	1467
"Lenoir-Rhyne College"	"Yes"	979	743	259	25	46	1188	166	10100	4000	400	1000	88	92	12	20	8539	66	1354
"Lesley College"	"Yes"	244	198	82	12	33	1134	336	11700	5300	550	805	71	88	27.8	18	8694	58	1470
"LeTourneau University"	"Yes"	477	417	204	29	54	1532	77	8840	4240	600	1400	58	70	20.8	23	6863	56	1609
"Lewis and Clark College"	"Yes"	2774	2092	482	35	64	1763	59	15800	4790	450	950	97	98	12.3	21	12999	69	1822
"Lincoln Memorial University"	"Yes"	787	562	363	21	55	925	605	5950	2890	600	1300	67	72	14.6	35	5177	53	1530
"Lincoln University"	"No"	1660	1091	326	15	41	1196	33	4818	3400	350	1400	71	72	12.6	8	10912	45	1229
"Livingstone College"	"Yes"	900	473	217	22	47	621	11	4400	3400	800	900	53	93	10.4	16	9268	92	632
"Loras College"	"Yes"	1641	1283	527	20	39	1663	170	11200	4000	500	1200	61	62	14.2	24	7578	70	1833
"Louisiana College"	"Yes"	2013	1053	212	33	61	912	158	5150	3036	500	1655	64	74	10.5	11	7547	59	1070
"Lycoming College"	"Yes"	1286	1005	363	16	37	1363	74	13900	4300	500	900	75	81	14	32	8024	72	1437
"Lynchburg College"	"Yes"	1756	1500	366	3	21	1524	280	12450	5400	450	870	62	66	12.4	24	8832	70	1804
"Lyndon State College"	"No"	535	502	223	6	20	959	150	7320	4640	500	600	48	65	12.6	15	7114	51	1109
"Macalester College"	"Yes"	2939	1496	452	56	86	1723	113	15909	4772	500	700	85	91	11.9	37	14213	77	1836
"MacMurray College"	"Yes"	740	558	177	12	29	628	63	9620	3750	550	950	49	55	10.8	33	10642	59	691
"Malone College"	"Yes"	874	758	428	21	46	1605	246	9858	3700	450	1200	42	45	17.6	16	4796	55	1851
"Manchester College"	"Yes"	1004	802	239	23	63	909	51	10440	3850	525	1450	63	72	11.8	20	7940	64	960
"Manhattanville College"	"Yes"	962	750	212	21	54	830	150	14700	6550	450	400	97	97	11.3	24	11291	70	980
"Marian College of Fond du Lac"	"Yes"	824	670	337	15	41	1160	653	9400	3400	500	1100	37	37	8.4	21	5352	59	1813
"Marietta College"	"Yes"	1611	960	342	27	60	1089	210	13850	3920	470	810	80	97	13.2	30	10223	96	1299
"Mary Baldwin College"	"Yes"	499	441	199	26	52	846	377	11200	7400	600	1300	66	79	6.8	50	10819	90	1223
"Marymount College Tarrytown"	"Yes"	478	327	117	9	34	731	370	11510	6450	575	1075	71	93	10.3	30	10502	77	1101
"Marymount Manhattan College"	"Yes"	695	535	239	21	30	988	785	10200	7000	350	1100	63	76	11.7	20	10622	68	1773
"Marymount University"	"Yes"	941	772	214	10	30	1247	776	11390	5280	500	750	77	82	10.6	17	8575	55	2023
"Maryville College"	"Yes"	1464	888	176	26	52	624	128	11200	4208	500	1642	80	90	11.1	43	8317	51	752
"Marywood College"	"Yes"	1107	859	323	13	51	1452	402	11040	4500	600	700	65	76	11.8	30	9034	66	1854
"Mayville State University"	"No"	233	233	153	5	12	658	58	4486	2516	600	1900	68	68	15.7	11	6971	51	716
"McKendree College"	"Yes"	1002	555	119	16	43	836	684	7680	3740	500	800	70	74	17.7	21	6652	52	1520
"McMurry University"	"Yes"	578	411	187	25	50	880	477	6930	3452	400	1525	57	64	11	11	6383	32	1357
"McPherson College"	"Yes"	420	293	93	11	32	336	80	7950	3750	600	2740	54	54	9.8	45	9754	48	416
"MidAmerica Nazarene College"	"Yes"	331	331	225	15	36	1100	166	6840	3720	1100	4913	33	33	15.4	20	5524	49	1266
"Milligan College"	"Yes"	610	461	189	26	52	685	49	8200	3300	550	1000	63	69	12	16	8128	64	734
"Millikin University"	"Yes"	1444	1261	456	29	62	1788	95	11910	4378	450	965	60	77	11.4	25	8149	75	1883
"Millsaps College"	"Yes"	905	834	319	32	61	1073	179	11320	4402	550	1350	82	89	12.7	38	11218	58	1252
"Missouri Valley College"	"Yes"	1310	983	316	5	35	1057	175	8550	5050	400	900	35	67	17.4	16	4333	27	1232
"Monmouth College IL"	"Yes"	601	503	204	28	57	671	11	13000	4100	400	460	91	91	11.6	43	11087	56	682
"Montana College of Mineral Sci. & Tech."	"No"	572	544	320	45	72	1470	416	6073	3400	550	1400	71	71	16.4	31	6112	74	1886
"Montreat-Anderson College"	"Yes"	263	223	103	10	24	316	20	8438	3372	500	2958	42	50	11.1	4	11989	15	336
"Moravian College"	"Yes"	1232	955	303	23	58	1241	485	14990	4730	550	1250	86	92	15.2	28	9566	74	1726
"Morningside College"	"Yes"	586	533	239	16	36	950	228	10520	3678	500	1000	48	68	13	32	8111	56	1178
"Morris College"	"Yes"	882	730	330	2	13	926	12	4515	2550	850	2100	53	60	18.6	34	6990	60	938
"Mount Holyoke College"	"Yes"	1800	1314	526	47	79	1891	40	19300	5700	750	750	79	91	9	51	18359	84	1931
"Mount Marty College"	"Yes"	279	276	126	17	37	600	435	6844	2980	500	500	45	55	11.7	38	5073	44	1035
"Mount Mary College"	"Yes"	235	217	121	12	32	931	487	8950	3119	550	1125	51	51	10.7	26	7016	78	1418
"Mount Mercy College"	"Yes"	368	317	159	20	49	806	542	10500	3555	500	2285	44	50	11.3	30	6695	64	1348
"Mount Saint Clare College"	"Yes"	325	284	95	16	33	364	88	9900	3650	500	1200	32	37	13.6	43	6525	21	452
