""	"X"	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"242"	"SUNY at Albany"	"No"	13528	9198	1843	16	61	10168	1231	6550	4355	700	1560	93	96	17.4	16	9075	74	11399
"243"	"SUNY at Binghamton"	"No"	14463	6166	1757	60	94	8544	671	6550	4598	700	1000	83	100	18	15	8055	80	9215
"244"	"SUNY at Buffalo"	"No"	15039	9649	3087	36	100	13963	3124	6550	4731	708	957	90	97	13.6	15	11177	56	17087
"245"	"SUNY at Stony Brook"	"No"	12512	6969	1724	27	66	9744	1351	6550	4712	600	1200	91	96	10.5	7	13705	57	11095
"247"	"SUNY College  at Oswego"	"No"	8000	4556	1464	17	70	6943	869	6550	4810	500	1500	69	85	22	21	5280	63	7812
"251"	"SUNY College at Geneseo"	"No"	8598	4562	1143	56	93	5060	146	6550	4170	600	650	79	84	19.1	25	5716	76	5206
"256"	"Syracuse University"	"Yes"	10477	7260	2442	28	67	10142	117	15150	6870	635	960	73	84	11.3	13	14231	67	10259
"257"	"Texas A&M Univ. at College Station"	"No"	14474	10519	6392	49	85	31643	2798	5130	3412	600	2144	89	91	23.1	29	8471	69	34441
"258"	"Texas Christian University"	"Yes"	4095	3079	1195	33	64	5064	660	8490	3320	650	2400	81	93	14.8	23	9158	64	5724
"259"	"Texas Southern University"	"No"	4345	3245	2604	15	85	5584	3101	7860	3360	600	1700	65	75	18.2	21	3605	10	8685
"261"	"Trenton State College"	"No"	5042	2312	944	55	94	5167	902	5391	5411	700	1000	81	87	14.4	6	8504	81	6069
"262"	"Trinity University"	"Yes"	2425	1818	601	62	93	2110	95	12240	5150	500	490	94	96	9.6	20	14703	93	2205
"263"	"Tulane University"	"Yes"	7033	5125	1223	47	75	4941	1534	19040	5950	350	800	98	98	9.1	21	16920	74	6475
"264"	"Tuskegee University"	"Yes"	2267	1827	611	20	59	2825	144	6735	3395	600	1425	70	74	12.2	7	10872	65	2969
"267"	"University of Arkansas at Fayetteville"	"No"	3235	3108	2133	25	65	9978	1530	5028	3300	500	2000	73	89	14.8	10	6820	39	11508
"268"	"University of California at Berkeley"	"No"	19873	8252	3215	95	100	19532	2061	11648	6246	636	1933	93	97	15.8	10	13919	78	21593
"269"	"University of California at Irvine"	"No"	15698	10775	2478	85	100	12677	864	12024	5302	790	1818	96	96	16.1	11	15934	66	13541
"270"	"University of Central Florida"	"No"	6986	2959	1918	25	60	12330	7152	6618	4234	700	1600	80	98	22.2	9	6742	46	19482
"271"	"University of Chicago"	"Yes"	6348	2999	922	68	94	3340	39	18930	6380	500	1254	99	99	5.3	36	36854	90	3379
"272"	"University of Cincinnati"	"No"	6855	5553	2408	26	57	11036	2011	8907	4697	556	1851	89	95	10.8	6	13889	54	13047
"273"	"University of Connecticut at Storrs"	"No"	9735	7187	2064	23	63	12478	1660	11656	5072	700	2300	89	95	16	16	10178	71	14138
"275"	"University of Delaware"	"Yes"	14446	10516	3252	22	57	14130	4522	10220	4230	530	1300	82	87	18.3	15	10650	75	18652
"276"	"University of Denver"	"Yes"	2974	2001	580	29	60	2666	554	15192	4695	400	1350	84	91	15.9	21	11762	67	3220
"278"	"University of Evansville"	"Yes"	2096	1626	694	35	67	2551	407	11800	4340	700	960	60	81	15.8	26	7780	77	2958
"279"	"University of Florida"	"No"	12445	8836	3623	54	85	24470	3286	7090	4180	630	1530	88	97	13.4	20	14737	66	27756
"280"	"University of Georgia"	"No"	11220	7871	3320	43	79	19553	2748	5697	3600	525	1755	88	95	14.7	22	7881	63	22301
"282"	"University of Hawaii at Manoa"	"No"	3580	2603	1627	36	69	11028	2411	4460	3038	687	1281	85	87	11.8	6	12833	54	13439
"283"	"University of Illinois - Urbana"	"No"	14939	11652	5705	52	88	25422	911	7560	4574	500	1982	87	90	17.4	13	8559	81	26333
"290"	"University of Maryland at Baltimore County"	"No"	4269	2594	985	27	57	6476	2592	8594	4408	494	2768	82	88	18.4	6	7618	55	9068
"294"	"University of Miami"	"Yes"	7122	5386	1643	42	69	7760	876	16500	6526	630	1985	82	94	5.9	17	17500	59	8636
"295"	"University of Michigan at Ann Arbor"	"No"	19152	12940	4893	66	92	22045	1339	15732	4659	476	1600	90	98	11.5	26	14847	87	23384
"299"	"University of Missouri at Columbia"	"No"	6574	4637	2940	32	62	14782	1583	9057	3485	600	1983	87	87	12.7	15	10145	58	16365
"300"	"University of Missouri at Rolla"	"No"	1877	1826	823	49	77	3926	561	9057	3600	700	1435	88	88	14.4	23	9699	49	4487
"302"	"University of Montevallo"	"No"	1351	892	570	18	78	2385	331	4440	3030	300	600	72	72	18.9	8	5883	51	2716
"303"	"University of Nebraska at Lincoln"	"No"	6277	6003	3526	33	63	16454	3171	5595	3145	500	2070	86	92	15.1	48	6813	53	19625
"304"	"University of New Hampshire"	"No"	9750	7640	2529	24	62	10358	1338	11180	3862	650	2450	89	87	17.5	16	7855	75	11696
"305"	"University of North Carolina at Asheville"	"No"	1757	979	394	32	74	2033	1078	5972	3420	600	750	77	83	13	11	7011	37	3111
"306"	"University of North Carolina at Chapel Hill"	"No"	14596	5985	3331	75	92	14609	1100	8400	4200	550	1200	88	93	8.9	23	15893	83	15709
"307"	"University of North Carolina at Charlotte"	"No"	5803	4441	1730	19	62	10099	3255	7248	3109	600	1900	79	91	16.8	7	6227	62	13354
"309"	"University of North Carolina at Wilmington"	"No"	6071	3856	1449	15	67	6635	1145	7558	3680	500	1500	82	85	19.1	15	6005	55	7780
"311"	"University of North Florida"	"No"	1800	1253	560	44	85	3876	3588	6634	4360	600	2604	82	85	17.8	14	6104	47	7464
"315"	"University of Notre Dame"	"Yes"	7700	3700	1906	79	96	7671	30	16850	4400	600	1350	96	92	13.1	46	13936	97	7701
"316"	"University of Oklahoma"	"No"	4743	3970	2233	32	63	13436	2582	5173	3526	765	3176	86	90	11.5	11	10244	44	16018
"317"	"University of Oregon"	"No"	8631	6732	2546	25	61	11669	1605	10602	3660	570	1530	79	87	19.7	13	8020	54	13274
"318"	"University of Pennsylvania"	"Yes"	12394	5232	2464	85	100	9205	531	17020	7270	500	1544	95	96	6.3	38	25765	93	9736
"319"	"University of Pittsburgh-Main Campus"	"No"	8586	6383	2503	25	59	13138	4289	10786	4560	400	900	93	93	7.8	10	13789	66	17427
"320"	"University of Portland"	"Yes"	1758	1485	419	27	58	2041	174	12040	4100	600	1100	92	96	13.2	17	9060	72	2215
"321"	"University of Puget Sound"	"Yes"	4044	2826	688	51	83	2738	138	16230	4500	630	1800	79	86	15	17	11217	63	2876
"323"	"University of Richmond"	"Yes"	5892	2718	756	46	72	2854	594	14500	3285	700	1125	75	89	11.7	32	11984	100	3448
"324"	"University of Rochester"	"Yes"	8766	5498	1243	56	75	5071	438	17840	6582	500	882	93	99	5.9	23	26037	80	5509
"325"	"University of San Diego"	"Yes"	3934	2735	886	40	70	3698	217	13600	5940	630	1820	93	96	15.6	13	10813	66	3915
"327"	"University of Scranton"	"Yes"	4471	2942	910	29	60	3674	493	11584	5986	650	800	83	83	14.1	41	9131	92	4167
"329"	"University of South Carolina at Columbia"	"No"	7693	5815	2328	30	66	12594	3661	8074	3522	495	2941	84	88	16.9	18	8246	63	16255
"330"	"University of South Florida"	"No"	7589	4676	1876	29	63	14770	10962	6760	3776	500	2180	84	89	17	7	11020	47	25732
"331"	"University of Southern California"	"Yes"	12229	8498	2477	45	71	13259	1429	17230	6482	600	2210	90	94	11.4	10	17007	68	14688
"338"	"University of Texas at Austin"	"No"	14752	9572	5329	48	85	30017	5189	5130	3309	650	3140	91	99	19.7	11	7837	65	35206
"340"	"University of the Pacific"	"Yes"	2459	1997	582	36	66	2664	299	16320	5326	646	1171	87	94	11.2	14	13706	65	2963
"341"	"University of Tulsa"	"Yes"	1712	1557	696	41	68	2936	433	11750	4160	1200	2350	94	96	11.5	10	11743	47	3369
"344"	"University of Virginia"	"No"	15849	5384	2678	74	95	11278	114	12212	3792	500	1000	90	92	9.5	22	13597	95	11392
"345"	"University of Washington"	"No"	12749	7025	3343	40	81	20356	4582	8199	4218	708	2172	96	94	9	10	16527	65	24938
"346"	"University of West Florida"	"No"	1558	1254	472	20	57	3754	2477	6172	3994	541	1387	83	87	23.4	12	8488	53	6231
"350"	"University of Wisconsin at Madison"	"No"	14901	10932	4631	36	80	23945	2200	9096	4290	535	1545	93	96	11.5	20	11006	72	26145
"354"	"Valparaiso University"	"Yes"	2075	1727	520	49	81	2501	198	11800	3260	500	800	87	89	14.2	23	9681	95	2699
"355"	"Vanderbilt University"	"Yes"	7791	4690	1499	71	92	5500	90	17865	6525	630	952	93	98	5.8	26	23850	83	5590
"356"	"Vassar College"	"Yes"	3550	1877	653	53	87	2164	77	18920	5950	600	800	90	98	9.7	39	17089	90	2241
"357"	"Villanova University"	"Yes"	7759	5588	1477	30	68	6362	1292	15925	6507	400	300	89	90	13.4	24	10458	96	7654
"361"	"Wake Forest University"	"Yes"	5661	2392	903	75	88	3499	172	13850	4360	500	1250	95	97	4.3	37	41766	89	3671
"362"	"Washington State University"	"No"	6540	5839	2440	31	70	14445	1344	8200	4210	800	2719	84	87	16.9	30	10912	56	15789
"363"	"Washington University"	"Yes"	7654	5259	1254	62	93	4879	1274	18350	5775	768	1512	91	98	3.9	31	45702	90	6153
"366"	"Wellesley College"	"Yes"	2895	1249	579	80	96	2195	156	18345	5995	500	700	94	98	10.6	51	21409	91	2351
"368"	"Wesleyan University"	"Yes"	4772	1973	712	60	86	2714	27	19130	5600	1400	1400	90	94	12.1	39	16262	92	2741
"375"	"Western Washington University"	"No"	5548	3563	1549	30	71	8909	506	8124	4144	639	2385	83	89	22.7	10	7203	61	9415
"377"	"Wheaton College IL"	"Yes"	1432	920	548	56	84	2200	56	11480	4200	530	1400	81	83	12.7	40	11916	85	2256
"378"	"Widener University"	"Yes"	2139	1492	502	24	64	2186	2171	12350	5370	500	1350	88	86	12.6	19	9603	63	4357
"381"	"Winthrop University"	"No"	2320	1805	769	24	61	3395	670	6400	3392	580	2150	71	80	12.8	26	6729	59	4065
"382"	"Wittenberg University"	"Yes"	1979	1739	575	42	68	1980	144	15948	4404	400	800	82	95	12.8	29	10414	78	2124
"383"	"Worcester Polytechnic Institute"	"Yes"	2768	2314	682	49	86	2802	86	15884	5370	530	730	92	94	15.2	34	10774	82	2888
"386"	"Xavier University of Louisiana"	"Yes"	2097	1915	695	34	61	2793	166	6900	4200	617	781	67	75	14.4	20	8323	49	2959
"387"	"Yale University"	"Yes"	10705	2453	1317	95	99	5217	83	19840	6510	630	2115	96	96	5.8	49	40386	99	5300
"388"	"York College of Pennsylvania"	"Yes"	2989	1855	691	28	63	2988	1726	4990	3560	500	1250	75	75	18.1	28	4509	99	4714
