""	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"California Polytechnic-San Luis"	"No"	7811	3817	1650	47	73	12911	1404	7380	4877	612	2091	72	81	19.8	13	8453	59	14315
"California State University at Fresno"	"No"	4540	3294	1483	5	60	13494	1254	7706	4368	600	1926	90	90	21.2	8	7268	61	14748
"Calvin College"	"Yes"	1784	1512	913	29	56	3401	136	10230	3710	400	1210	75	81	14.8	41	7786	81	3537
"Campbell University"	"Yes"	2087	1339	657	20	54	3191	1204	7550	2790	600	500	77	77	21.8	34	3739	63	4395
"Canisius College"	"Yes"	2853	2193	753	16	34	2978	434	10750	5340	400	1130	90	92	14.6	26	7972	64	3412
"Capital University"	"Yes"	1747	1382	449	34	66	1662	960	13050	4000	500	800	64	69	12.1	27	9557	83	2622
"Carnegie Mellon University"	"Yes"	8728	5201	1191	60	89	4265	291	17900	5690	450	1250	86	93	9.2	31	24386	74	4556
"Case Western Reserve University"	"Yes"	3877	3156	713	71	93	3051	513	15700	4730	525	1460	95	95	2.9	29	19733	67	3564
"Catholic University of America"	"Yes"	1754	1465	505	24	49	2159	211	13712	6408	526	1100	90	96	9.3	18	12751	75	2370
"Cedarville College"	"Yes"	1307	1090	616	25	55	2196	82	7344	4410	570	1000	50	52	15.3	34	6897	64	2278
"Central Connecticut State University"	"No"	4158	2532	902	6	24	6394	3881	5962	4444	500	985	69	73	16.7	4	4900	49	10275
"Central Missouri State University"	"No"	4681	4101	1436	10	35	8094	1596	4620	3288	300	2250	69	80	19.7	4	5501	50	9690
"Central Washington University"	"No"	2785	2011	1007	8	65	6507	898	7242	3603	654	1416	67	89	18.1	0	6413	51	7405
"Christopher Newport University"	"No"	883	766	428	3	37	2910	1749	7860	4750	525	1889	80	82	21.2	16	4639	48	4659
"Clark University"	"Yes"	2887	2059	457	30	61	1928	296	17500	4200	500	950	94	95	10.5	35	11951	79	2224
"Clarkson University"	"Yes"	2174	1953	557	35	68	2332	53	15960	5580	700	1300	95	95	15.8	32	11659	77	2385
"Clemson University"	"No"	8065	5257	2301	37	65	11755	770	8116	3610	800	1618	82	88	18	17	7597	73	12525
"Colgate University"	"Yes"	4856	2492	727	46	75	2649	25	19510	5565	500	750	95	98	10.5	45	15494	93	2674
"College of Charleston"	"No"	4772	3140	1265	22	55	6851	1200	6120	3460	666	2316	73	78	17.2	18	4776	51	8051
"College of Mount St. Joseph"	"Yes"	798	620	238	14	41	1165	1232	9800	4430	400	1150	46	46	11.1	35	6889	100	2397
"College of Notre Dame of Maryland"	"Yes"	457	356	177	35	61	667	1983	11180	5620	600	700	64	64	11.5	32	7477	75	2650
"College of Saint Catherine"	"Yes"	511	411	186	23	51	1692	562	12224	4440	450	1000	63	87	11.5	32	7315	77	2254
"College of Saint Rose"	"Yes"	983	664	249	23	57	1698	894	9990	5666	800	1500	66	71	14.3	28	6084	64	2592
"College of the Holy Cross"	"Yes"	2994	1691	659	70	95	2675	22	18000	6300	400	900	92	96	11.3	55	12138	95	2697
"College of William and Mary"	"No"	7117	3106	1217	68	88	5186	134	11720	4298	600	800	89	92	12.1	31	9534	93	5320
"Colorado State University"	"No"	9478	6312	2194	29	65	15646	1829	8412	4180	470	1800	87	89	19.2	10	7850	59	17475
"Columbia College MO"	"Yes"	314	158	132	10	28	690	5346	8294	3700	400	900	87	87	15.3	2	5015	37	6036
"Columbia University"	"Yes"	6756	1930	871	78	96	3376	55	18624	6664	550	300	97	98	5.9	21	30639	99	3431
"Creighton University"	"Yes"	2967	2836	876	30	60	3450	644	10628	4372	650	2055	85	90	6.5	32	22906	85	4094
"Dartmouth College"	"Yes"	8587	2273	1087	87	99	3918	32	19545	6070	550	1100	95	99	4.7	49	29619	98	3950
"Delta State University"	"No"	967	945	459	15	48	2806	538	4528	1880	500	1200	49	63	17.1	16	5113	58	3344
"Dowling College"	"Yes"	1011	829	410	9	33	1059	2458	9000	3100	450	1413	77	78	12.4	7	11178	42	3517
"Drake University"	"Yes"	2799	2573	839	34	65	3322	726	13420	4770	560	1675	88	93	15	24	9473	77	4048
"Duke University"	"Yes"	13789	3893	1583	90	98	6188	53	18590	5950	625	1162	95	96	5	44	27206	97	6241
"East Carolina University"	"No"	9274	6362	2435	14	44	13171	1687	7248	3240	500	1700	74	78	13.2	18	9002	58	14858
"East Tennessee State University"	"No"	3330	2730	1303	15	36	6706	2640	5800	3000	600	2200	73	75	14	9	9825	42	9346
"Eastern Connecticut State University"	"No"	2172	1493	564	14	50	2766	1531	5962	4316	650	500	71	76	16.9	14	5719	50	4297
"Eastern Illinois University"	"No"	5597	4253	1565	12	38	9161	845	5710	3066	120	1730	62	71	16.2	5	5682	76	10006
"Elon College"	"Yes"	3624	2786	858	11	39	2933	334	9100	3883	490	1777	70	74	18.9	34	6329	63	3267
"Embry Riddle Aeronautical University"	"Yes"	3151	2584	958	14	40	4772	856	7800	3750	570	3020	37	43	16.5	4	12878	44	5628
"Emory University"	"Yes"	8506	4168	1236	76	97	5544	192	17600	6000	600	870	97	98	5	28	28457	96	5736
"Emporia State University"	"No"	1256	1256	853	43	79	3957	588	5401	3144	450	1888	72	75	19.3	4	5527	50	4545
"Evergreen State College"	"No"	1801	1101	438	14	50	3065	363	6297	4600	600	1323	75	78	18.1	14	8355	68	3428
"Fairfield University"	"Yes"	4784	3346	781	30	66	2984	1037	15000	6200	700	1100	86	90	15.1	30	11220	94	4021
"Fayetteville State University"	"No"	1455	1064	452	1	16	2632	617	6806	2550	350	766	75	75	15.1	10	6972	24	3249
"Florida International University"	"No"	3306	2079	1071	42	89	10208	9310	6597	2494	800	3028	81	96	13.9	20	6722	66	19518
"Florida Southern College"	"Yes"	1381	1040	374	20	44	1506	970	8025	4865	400	650	65	74	17.4	10	6339	68	2476
"Florida State University"	"No"	11651	8683	3023	50	90	18906	3242	6680	4060	600	1020	80	89	23.1	15	7250	58	22148
"Fordham University"	"Yes"	4200	2874	942	30	55	4740	1646	14235	6965	600	1735	86	97	14.4	14	10864	80	6386
"Fort Lewis College"	"No"	3440	2823	1123	16	35	3793	486	6198	3320	500	2500	89	97	19.1	6	4362	46	4279
"Francis Marion University"	"No"	1801	1655	819	13	38	3224	436	5840	3138	400	2430	76	76	19.1	8	5039	43	3660
"Franklin Pierce College"	"Yes"	5187	4471	446	3	14	1818	1197	13320	4630	500	800	50	56	17.6	16	6418	51	3015
"Furman University"	"Yes"	2161	1951	685	56	82	2371	175	13440	4048	600	1250	92	95	13.5	28	12940	82	2546
"Gannon University"	"Yes"	2464	1908	678	24	57	2693	691	10970	4280	500	1380	47	51	13.3	18	7711	65	3384
"George Mason University"	"No"	5653	4326	1727	17	29	9528	3822	10800	4840	580	1050	93	96	19.3	7	6751	46	13350
"George Washington University"	"Yes"	7875	5062	1492	38	71	5471	1470	17450	6328	700	950	92	93	7.6	15	14745	72	6941
"Georgetown University"	"Yes"	11115	2881	1390	71	93	5881	406	18300	7131	670	1700	91	92	7.2	27	19635	95	6287
"Georgia Institute of Technology"	"No"	7837	4527	2276	89	99	8528	654	6489	4438	795	1164	92	92	19.3	33	11271	70	9182
"Georgia State University"	"No"	3793	2341	1238	9	24	7732	9054	6744	2655	720	3450	87	89	19	10	7762	34	16786
"Gonzaga University"	"Yes"	1886	1524	526	31	67	2523	296	13000	4450	600	2400	78	90	14.7	32	9553	69	2819
"Graceland College"	"Yes"	555	414	242	14	41	996	2281	9100	3100	550	880	51	61	23.6	24	5609	47	3277
"Grand Valley State University"	"No"	5165	3887	1561	20	60	8234	2619	6108	3800	500	1000	64	66	20.6	9	5063	57	10853
"Grove City College"	"Yes"	2491	1110	573	57	88	2213	35	5224	3048	525	350	65	65	18.4	18	4957	100	2248
"Gustavus Adolphus College"	"Yes"	1709	1385	634	36	72	2281	50	14125	3600	400	700	79	89	12.5	58	9907	80	2331
"Hampton University"	"Yes"	7178	3755	1433	25	63	4623	740	7161	3518	600	2000	60	64	14	9	6791	70	5363
"Harding University"	"Yes"	1721	1068	806	35	75	3128	213	5504	3528	700	910	71	77	17.7	37	6466	73	3341
"Harvard University"	"Yes"	13865	2165	1606	90	100	6862	320	18485	6410	500	1920	97	97	9.9	52	37219	100	7182
"Hofstra University"	"Yes"	7428	5860	1349	25	63	6534	1350	11600	5920	1000	1000	81	90	13.9	10	10093	60	7884
"Hope College"	"Yes"	1712	1483	624	37	69	2505	208	12275	4341	465	1100	72	81	12.5	40	9284	72	2713
"Illinois Institute of Technology"	"Yes"	1756	1360	478	42	77	1911	626	14550	4620	500	700	80	88	12.3	26	12851	56	2537
"Illinois State University"	"No"	8681	6695	2408	10	35	15701	1823	7799	3403	537	2605	77	84	21	16	5569	54	17524
"Incarnate Word College"	"Yes"	1163	927	386	16	49	1685	556	8840	4689	750	2775	67	69	11.4	21	6095	95	2241
"Indiana State University"	"No"	5659	4761	3147	10	31	8596	1949	6892	3706	600	2500	72	76	16.6	8	6996	40	10545
"Indiana University at Bloomington"	"No"	16587	13243	5873	25	72	24763	2717	9766	3990	600	2000	77	88	21.3	24	8686	68	27480
"Indiana Wesleyan University"	"Yes"	735	423	366	20	48	2448	707	9210	3782	700	1000	49	51	39.8	15	6562	34	3155
"Iona College"	"Yes"	4892	3530	913	13	33	3906	1446	10690	6790	570	1150	66	83	16	14	8107	66	5352
"Iowa State University"	"No"	8427	7424	3441	26	59	18676	1715	7550	3224	640	2055	81	88	19.2	22	8420	65	20391
"Ithaca College"	"Yes"	7259	5526	1368	23	52	5612	166	14424	6192	634	1000	58	79	11.5	25	9812	75	5778
"James Madison University"	"No"	11223	5285	2082	32	72	9652	742	7994	4544	500	732	77	81	17.9	29	5212	98	10394
"Jamestown College"	"Yes"	472	410	262	14	41	9950	71	7620	3050	400	400	51	53	17	21	3186	54	10021
"Jersey City State College"	"No"	2957	1423	691	10	30	3817	1394	3946	4800	400	1500	63	67	14.9	10	8367	26	5211
"John Carroll University"	"Yes"	2421	2109	820	27	57	3168	392	11700	5550	600	450	89	90	14.5	28	7738	89	3560
"Johns Hopkins University"	"Yes"	8474	3446	911	75	94	3566	1569	18800	6740	500	1040	96	97	3.3	38	56233	90	5135
"Kansas State University"	"No"	5880	4075	2833	25	55	14914	2246	6995	3120	600	2000	76	86	18.5	22	6122	54	17160
"Keene State College"	"No"	3121	2446	822	5	19	3480	776	7870	4157	500	1150	73	73	16.1	13	6195	61	4256
"La Salle University"	"Yes"	2929	1834	622	20	56	2738	1662	12600	5610	450	3160	90	90	15.1	9	9084	84	4400
"Lafayette College"	"Yes"	4010	2402	572	36	59	2018	226	18730	5740	600	1000	93	96	10.5	38	15365	92	2244
"Lakeland College"	"Yes"	497	452	231	24	47	887	1957	9400	4005	500	1000	49	65	17.2	25	4054	57	2844
"Lamar University"	"No"	2336	1725	1043	10	27	5438	4058	4752	3040	508	1463	48	82	18.4	12	5879	26	9496
"Lander University"	"No"	1166	1009	510	9	33	2074	341	4938	2987	528	1702	67	77	17	11	6119	51	2415
"Le Moyne College"	"Yes"	1470	1199	425	21	76	1820	558	11040	4840	400	900	89	92	13.3	28	8118	94	2378
"Lehigh University"	"Yes"	6397	4304	1092	40	84	4298	132	18700	5580	750	1130	96	99	12.5	43	14665	91	4430
"Lewis University"	"Yes"	1154	1050	395	12	31	2192	1423	10560	4520	500	1200	36	48	14.3	10	7701	61	3615
"Lindenwood College"	"Yes"	810	484	356	6	33	2155	191	9200	4800	1000	4200	65	85	24.1	9	3480	100	2346
"Linfield College"	"Yes"	1561	1188	458	48	72	1548	840	13380	4210	500	900	89	91	17.8	34	8747	81	2388
"Lock Haven University of Pennsylvania"	"No"	3570	2215	651	17	41	3390	325	7352	3620	225	500	47	55	16.1	14	6374	63	3715
"Longwood College"	"No"	2747	1870	724	12	47	2874	118	7920	3962	550	2200	74	80	18.4	23	5553	62	2992
"Louisiana State University at Baton Rouge"	"No"	5996	4993	3079	29	57	16269	3757	5925	2980	600	2242	83	87	15.9	11	6741	37	20026
"Louisiana Tech University"	"No"	2397	2144	1525	22	45	6720	1822	3957	2325	618	1656	66	77	20	13	4546	45	8542
"Loyola College"	"Yes"	4076	3137	738	25	54	3010	184	12990	6300	600	900	86	88	14.7	27	9448	80	3194
"Loyola Marymount University"	"Yes"	3768	2662	753	42	64	3558	436	13592	5916	545	1328	84	88	14.2	10	11677	84	3994
"Loyola University"	"Yes"	1891	1698	719	24	80	2740	761	11100	5870	600	750	77	88	11.7	14	9456	53	3501
"Loyola University Chicago"	"Yes"	3579	2959	868	25	55	5244	3417	11500	5330	700	2000	94	95	6.2	15	13009	65	8661
"Luther College"	"Yes"	1549	1392	587	38	72	2269	85	13240	3560	600	400	73	85	13.8	38	8949	77	2354
"Manhattan College"	"Yes"	2432	1730	563	20	63	2578	254	12370	6800	500	1800	92	92	13.6	25	10062	79	2832
"Mankato State University"	"No"	3073	2672	1547	9	29	9649	1792	4300	2643	450	1660	57	68	19	11	5801	68	11441
"Marist College"	"Yes"	4731	3171	830	12	31	3557	658	10700	5925	550	1200	74	81	17.6	34	8408	69	4215
"Marquette University"	"Yes"	5152	4600	1685	36	71	7016	804	11610	4760	600	1950	86	94	13.5	25	9982	77	7820
"Marshall University"	"Yes"	4226	3666	2007	14	60	7703	2339	5094	4010	700	1560	77	86	16.6	10	6203	50	10042
"Mary Washington College"	"No"	4350	2178	756	39	78	2997	736	6490	4942	650	2102	75	80	17.6	30	5358	84	3733
"Maryville University"	"Yes"	549	397	169	26	51	1343	1751	9250	4550	425	1350	52	58	13.1	13	5925	61	3094
"Massachusetts Institute of Technology"	"Yes"	6411	2140	1078	96	99	4481	28	20100	5975	725	1600	99	99	10.1	35	33541	94	4509
"Mercer University"	"Yes"	2286	1668	564	37	70	2943	1260	11985	4081	400	1500	93	95	9.2	15	8995	91	4203
"Mercyhurst College"	"Yes"	1557	1074	397	15	40	1805	433	9813	4050	425	1000	45	63	16.7	29	7307	78	2238
"Meredith College"	"Yes"	857	772	376	25	58	1721	470	6720	3250	450	1520	77	82	13.9	33	6881	82	2191
"Merrimack College"	"Yes"	1981	1541	514	18	36	1927	1084	12500	6200	375	1000	73	75	16.8	22	8707	80	3011
"Mesa State College"	"No"	1584	1456	891	6	18	3471	911	5016	3798	540	2256	48	48	28.8	12	3871	59	4382
"Messiah College"	"Yes"	1742	1382	607	30	64	2258	53	10300	5080	475	1200	68	75	14.1	30	7762	89	2311
"Miami University at Oxford"	"No"	9239	7788	3290	35	39	13606	807	8856	3960	500	1382	81	89	17.6	20	7846	85	14413
"Michigan State University"	"No"	18114	15096	6180	23	57	26640	4120	10658	3734	504	600	93	95	14	9	10520	71	30760
"Michigan Technological University"	"No"	2618	2288	1032	42	77	5524	414	8127	3978	900	1200	82	82	17	25	7473	65	5938
"Millersville University of Penn."	"No"	6011	3075	960	22	60	5146	1532	7844	3830	450	1258	72	74	16.8	20	7832	71	6678
"Milwaukee School of Engineering"	"Yes"	1217	1088	496	36	69	1773	884	11505	3255	1000	2075	35	46	16.7	23	7140	67	2657
"Mississippi College"	"Yes"	594	385	307	36	57	1695	721	5580	2830	600	700	77	79	16.5	18	6170	61	2416
"Mississippi State University"	"No"	4255	3277	1609	18	57	10094	1621	9866	3084	480	1479	77	77	15.9	20	6223	53	11715
"Mississippi University for Women"	"No"	480	405	380	19	46	1673	1014	4386	2217	600	1500	49	54	15.8	8	5704	63	2687
"Missouri Southern State College"	"No"	1576	1326	913	13	50	3689	2200	3840	2852	200	400	52	54	20.3	9	4172	100	5889
"Monmouth College"	"Yes"	2707	1881	478	14	34	1893	847	12480	5290	530	1740	70	85	14.2	15	9492	54	2740
"Montana State University"	"No"	3500	2836	1779	15	42	8730	993	5552	3710	550	2300	75	83	17.6	8	6324	37	9723
"Montclair State University"	"No"	5220	2128	865	19	53	6411	3186	3648	4834	700	950	82	87	21.5	9	6717	58	9597
"Moorhead State University"	"No"	2442	2164	1189	12	37	5983	1075	4426	2664	600	1000	76	81	18.1	19	4795	60	7058
"Morehouse College"	"Yes"	3708	1678	722	41	66	2852	153	7050	5490	250	600	71	74	17.8	10	8122	83	3005
"Murray State University"	"No"	2225	1910	1190	29	55	5968	955	4738	3110	700	940	72	76	20.2	27	5972	52	6923
"National-Louis University"	"Yes"	513	347	279	23	48	2508	505	9090	4500	650	500	62	65	18.3	2	7905	71	3013
"New Jersey Institute of Technology"	"No"	1879	1216	483	27	62	3311	1646	8832	5376	700	1850	92	98	13.5	19	12529	72	4957
"New York University"	"Yes"	13594	7244	2505	70	86	12408	2814	17748	7262	450	1000	87	98	7.8	16	21227	71	15222
"Niagara University"	"Yes"	2220	1796	467	65	99	1919	334	10320	4762	450	650	68	100	14.2	20	7788	65	2253
"North Carolina A. & T. State University"	"No"	4809	3089	1429	12	33	6162	871	6806	1780	600	1651	72	72	16.7	9	7090	44	7033
"North Carolina State University at Raleigh"	"No"	10634	7064	3176	39	78	16505	5481	8400	6540	600	1300	92	98	17.5	21	9670	62	21986
"North Dakota State University"	"No"	2968	2297	1610	13	47	7368	1128	5834	2744	600	2000	79	83	17	24	6310	42	8496
"Northeast Missouri State University"	"No"	6040	4577	1620	36	72	5640	266	4856	3416	400	1100	69	72	15.7	13	6601	76	5906
"Northeastern University"	"Yes"	11901	8492	2517	16	42	11160	10221	13380	7425	600	1750	73	82	12.9	17	9563	46	21381
"Northern Arizona University"	"No"	5891	4931	1973	23	48	11249	2682	6746	3728	620	2342	78	83	21.7	7	6157	41	13931
"Northern Illinois University"	"No"	10706	7219	2397	12	37	14826	1979	7799	3296	470	1750	73	78	17.3	11	6086	56	16805
"Northwest Missouri State University"	"No"	2729	2535	1257	8	29	4787	472	3735	3136	250	1630	62	65	21.7	23	5284	54	5259
"Northwestern University"	"Yes"	12289	5200	1902	85	98	7450	45	16404	5520	759	1585	96	100	6.8	25	26385	92	7495
"Norwich University"	"Yes"	1743	1625	626	8	29	1862	382	14134	5270	500	800	71	74	13.1	22	9209	63	2244
"Oakland University"	"No"	3041	2581	1173	16	56	6441	3982	9114	4030	400	650	88	90	19.7	13	6637	53	10423
"Oberlin College"	"Yes"	4778	2767	678	50	89	2587	120	19670	5820	575	1119	77	96	10.1	47	16593	83	2707
"Ohio Northern University"	"Yes"	2936	2342	669	35	62	2502	66	15990	4080	600	825	73	78	14.5	31	9979	83	2568
"Ohio University"	"No"	11023	8298	3183	21	54	14861	1310	7629	4095	550	2300	79	87	20.4	13	8811	64	16171
"Oklahoma Baptist University"	"Yes"	758	681	484	35	59	1707	705	5390	3140	515	1290	63	71	15.1	18	5511	50	2412
"Oklahoma State University"	"No"	4522	3913	2181	29	57	12830	1658	5336	3344	800	3100	84	92	15.3	14	6433	48	14488
"Otterbein College"	"Yes"	1496	1205	428	26	57	1648	936	12888	4440	420	840	62	68	13.9	30	8802	87	2584
"Our Lady of the Lake University"	"Yes"	2308	1336	295	22	46	1202	942	8530	3644	616	1576	56	64	14.9	25	7114	37	2144
"Pace University"	"Yes"	8256	3750	1522	37	70	5809	4379	11000	5160	660	1115	90	95	13.8	10	10059	62	10188
"Pacific Lutheran University"	"Yes"	1603	1392	504	31	68	2580	302	13312	4488	600	1516	78	78	11	23	9431	83	2882
"Pembroke State University"	"No"	944	774	440	14	34	2174	529	6360	2760	550	1498	77	77	15	5	6443	48	2703
"Pennsylvania State Univ. Main Campus"	"No"	19315	10344	3450	48	93	28938	2025	10645	4060	512	2394	77	96	18.1	19	8992	63	30963
"Pepperdine University"	"Yes"	3821	2037	680	86	96	2488	625	18200	6770	500	700	95	98	11.6	13	16185	66	3113
"Philadelphia Coll. of Textiles and Sci."	"Yes"	1538	1259	468	19	42	1664	1042	11690	5062	600	1664	48	80	12.9	15	8028	68	2706
"Point Loma Nazarene College"	"Yes"	809	687	428	20	43	1889	217	10178	4190	800	750	71	71	16.1	19	7895	54	2106
"Point Park College"	"Yes"	875	744	207	7	38	1173	1402	9700	4830	400	1200	45	90	14.5	10	7652	66	2575
"Prairie View A. and M. University"	"No"	2405	2234	1061	10	22	4564	448	4290	3500	598	1582	55	93	19.4	1	5967	35	5012
"Princeton University"	"Yes"	13218	2042	1153	90	98	4540	146	19900	5910	675	1575	91	96	8.4	54	28320	99	4686
"Providence College"	"Yes"	5139	3346	973	20	55	3717	1358	14400	6200	450	1100	66	74	18.4	35	8135	96	5075
"Purdue University at West Lafayette"	"No"	21804	18744	5874	29	60	26213	4065	9556	3990	570	1060	86	86	18.2	15	8604	67	30278
"Quinnipiac College"	"Yes"	3712	2153	806	17	45	2677	714	12030	6140	1000	500	63	73	12	33	8847	86	3391
"Radford University"	"No"	5702	4894	1742	15	37	8077	472	6684	4110	500	900	73	83	19.6	9	4519	62	8549
"Ramapo College of New Jersey"	"No"	2088	957	362	6	29	2745	1938	4449	4860	600	1655	74	95	17.8	8	7333	47	4683
"Rensselaer Polytechnic Institute"	"Yes"	4996	4165	936	53	82	4291	16	17475	5976	1230	1100	94	98	15.4	21	15605	70	4307
"Rider University"	"Yes"	3586	2424	730	16	31	2748	1309	13250	5420	700	3100	84	92	12.3	23	11299	70	4057
"Roger Williams University"	"Yes"	3304	2804	679	10	20	2111	1489	12520	6050	500	730	44	54	16.4	8	7957	61	3600
"Rollins College"	"Yes"	1777	1151	382	31	55	1668	1052	16425	5220	955	750	81	85	13.3	23	11561	90	2720
"Rowan College of New Jersey"	"No"	3820	1431	695	21	70	5303	3942	4356	4830	800	800	76	81	22.1	6	7252	51	9245
"Rutgers at New Brunswick"	"No"	48094	26330	4520	36	79	21401	3712	7410	4748	690	2009	90	95	19.5	19	10474	77	25113
"Rutgers State University at Camden"	"No"	3366	1752	232	27	79	2585	1300	7411	4748	690	2009	90	95	18.6	12	10134	57	3885
"Rutgers State University at Newark"	"No"	5785	2690	499	26	62	4005	1886	7410	4748	690	2009	90	95	17.4	16	11878	58	5891
"Sacred Heart University"	"Yes"	2307	1896	509	19	51	1707	1889	11070	5780	400	600	71	73	14.8	16	7120	82	3596
"Saint Cloud State University"	"No"	3971	3306	1921	10	34	11493	2206	4259	2625	350	1884	70	75	18.9	10	4629	58	13699
"Saint Joseph's College"	"Yes"	833	682	217	12	33	716	2196	9985	5180	500	800	53	89	27.2	8	4322	85	2912
"Saint Joseph's University"	"Yes"	2519	2003	776	39	71	2473	1314	12750	6350	350	1690	84	90	17.4	13	8243	83	3787
"Saint Louis University"	"Yes"	3294	2855	956	44	67	4576	1140	11690	4730	800	6800	84	94	4.6	19	18367	67	5716
"Saint Olaf College"	"Yes"	2248	1673	745	38	73	2888	105	14350	3750	550	550	82	88	10	31	12502	83	2993
"Saint Peter's College"	"Yes"	1606	1413	530	23	38	1921	1154	9408	5520	500	450	78	78	12.1	22	7669	53	3075
"Saint Xavier University"	"Yes"	785	647	295	15	65	1670	726	10860	4624	600	794	87	100	13.7	15	8953	55	2396
"Salisbury State University"	"No"	4216	2290	736	20	52	4296	1027	5130	4690	600	1450	73	75	17.9	18	5125	56	5323
"Samford University"	"Yes"	1680	1395	691	34	76	2959	402	8236	3700	569	1650	74	75	14.7	17	9533	61	3361
"San Diego State University"	"No"	9402	7020	2151	20	70	16407	5550	8384	5110	612	2400	87	93	19.5	7	7930	41	21957
"Santa Clara University"	"Yes"	4019	2779	888	40	73	3891	128	13584	5928	630	1278	88	92	13.9	19	10872	100	4019
"Savannah Coll. of Art and Design"	"Yes"	1109	688	386	20	65	1897	208	8325	5000	1200	1600	14	98	16.1	26	6874	55	2105
"Seattle Pacific University"	"Yes"	1183	1016	411	42	82	1922	704	12669	4875	600	1250	83	85	16.8	20	10368	66	2626
